"shadehouse","sld.no","species","light","damage","growth","survival"
1,5,"hn","L",0,-0.0752481,1
1,7,"hn","L",0,3.3149585,1
1,9,"hn","L",0,8.549523,1
1,10,"hn","L",0.25,5.1861251,1
1,12,"hn","L",0.25,2.09193,1
1,13,"hn","L",0.25,1.4813057,1
1,14,"hn","L",0.1,-1.1771277,1
1,15,"hn","L",0.1,7.5755527,1
1,18,"hn","L",0.25,1.9539824,1
1,19,"hn","L",0.1,3.7577667,1
1,22,"hn","L",0.1,5.7964055,1
1,23,"hn","L",0,13.1485255,1
2,5,"hn","D",0.25,-1.8169207,1
2,7,"hn","D",0.1,2.9504451,1
2,9,"hn","D",0.1,-0.8733739,1
2,11,"hn","D",0.1,-0.1823842,1
2,12,"hn","D",0,2.1298488,1
2,13,"hn","D",0,1.4664364,1
2,15,"hn","D",0,2.8113515,1
2,16,"hn","D",0,0.7036389,1
2,19,"hn","D",0.25,-2.2096605,1
2,22,"hn","D",0.1,-0.0083978,1
2,24,"hn","D",0.25,0.9389882,1
3,1,"hn","D",0.1,-0.3427075,1
3,3,"hn","D",0,1.0133993,1
3,6,"hn","D",0.25,-1.1332131,1
3,10,"hn","D",0.25,-0.8329182,1
3,12,"hn","D",0.1,0.8030257,1
3,14,"hn","D",0.25,0.6116822,1
3,15,"hn","D",0,2.8172785,1
3,16,"hn","D",0,5.076102,1
3,18,"hn","D",0,1.5626426,1
3,19,"hn","D",0.1,-0.540557,1
3,23,"hn","D",0.1,0.8220591,1
4,1,"hn","L",0.1,4.6574995,1
4,3,"hn","L",0,14.2741424,1
4,4,"hn","L",0.1,7.9709523,1
4,5,"hn","L",0.25,0.7491061,1
4,7,"hn","L",0.25,-0.0369281,1
4,9,"hn","L",0,5.9117597,1
4,10,"hn","L",0.1,7.4958859,1
4,12,"hn","L",0.25,0.5532096,1
4,13,"hn","L",0,15.012556,1
4,14,"hn","L",0,7.8182224,1
4,19,"hn","L",0.25,1.5943729,1
4,21,"hn","L",0.1,10.5090888,1
5,3,"hn","L",0,14.3483185,1
5,5,"hn","L",0.1,8.5055931,1
5,6,"hn","L",0.1,9.295789,1
5,7,"hn","L",0,18.566262,1
5,9,"hn","L",0.25,4.8530393,1
5,11,"hn","L",0,6.5622034,1
5,12,"hn","L",0.25,3.3982022,1
5,14,"hn","L",0.25,4.8887791,1
5,17,"hn","L",0.1,15.5984096,1
5,18,"hn","L",0,21.926829,1
5,19,"hn","L",0.1,5.8863498,1
5,20,"hn","L",0.25,0.519636,1
6,1,"hn","D",0,1.398989,1
6,6,"hn","D",0.1,1.6359123,1
6,7,"hn","D",0.1,-1.4759372,1
6,9,"hn","D",0,3.5779123,1
6,11,"hn","D",0.25,1.2281263,1
6,12,"hn","D",0.1,-1.2824708,1
6,16,"hn","D",0.25,1.0757226,1
6,17,"hn","D",0.25,-1.2663269,1
7,2,"hn","D",0,0.6447824,1
7,3,"hn","D",0.25,-0.6887108,1
7,6,"hn","D",0.1,3.1017049,1
7,9,"hn","D",0,-1.5238807,1
7,10,"hn","D",0,1.3153729,1
7,14,"hn","D",0.25,0.8369692,1
7,15,"hn","D",0.1,-0.9328774,1
7,23,"hn","D",0.25,-1.3938869,1
8,3,"hn","L",0.1,0.0201358,1
8,7,"hn","L",0.1,0.0322183,1
8,10,"hn","L",0.25,8.4156686,1
8,11,"hn","L",0.25,2.1937061,1
8,13,"hn","L",0,4.6715457,1
8,14,"hn","L",0.25,2.5771156,1
8,19,"hn","L",0,6.2942698,1
8,21,"hn","L",0,10.8723428,1
8,22,"hn","L",0,13.5479259,1
9,5,"hn","D",0.1,3.7375259,1
9,9,"hn","D",0,1.2599094,1
9,10,"hn","D",0,2.7719127,1
9,15,"hn","D",0.1,-0.9164906,1
9,16,"hn","D",0.1,2.4719993,1
9,20,"hn","D",0.25,-1.3122374,1
9,22,"hn","D",0.25,-2.3342197,1
9,24,"hn","D",0.1,1.0614228,1
10,2,"hn","L",0.1,7.6649424,1
10,3,"hn","L",0,9.4952698,1
10,8,"hn","L",0.1,9.5842657,1
10,9,"hn","L",0.1,12.7105057,1
10,12,"hn","L",0.25,6.923749,1
10,13,"hn","L",0,5.9934859,1
10,15,"hn","L",0,14.0784455,1
10,18,"hn","L",0.25,2.2085065,1
10,19,"hn","L",0.25,1.3261626,1
10,21,"hn","L",0.1,4.8164121,1
10,23,"hn","L",0,8.9716121,1
10,24,"hn","L",0.25,3.9575399,1
